"service_id","date","exception_type"
"D27AD7F9","20250727","1"
"D27AD7F9","20250802","1"
"D27AD7F9","20250803","1"
"D27AD7F9","20250809","1"
"D27AD7F9","20250810","1"
"D27AD7F9","20250816","1"
"D27AD7F9","20250817","1"
"D27AD7F9","20250823","1"
"D27AD7F9","20250824","1"
"D27AD7F9","20250830","1"
"D27AD7F9","20250831","1"
"D27AD7F9","20250901","1"
"4C5AE874","20250614","1"
"4C5AE874","20250615","1"
"411213F6","20250604","1"
"411213F6","20250605","1"
"411213F6","20250606","1"
"EAB418F4","20250609","1"
"EAB418F4","20250610","1"
"EAB418F4","20250611","1"
"EAB418F4","20250612","1"
"EAB418F4","20250613","1"
"EAB418F4","20250616","1"
"EAB418F4","20250617","1"
"EAB418F4","20250618","1"
"EAB418F4","20250619","1"
"EAB418F4","20250620","1"
"EAB418F4","20250623","1"
"EAB418F4","20250624","1"
"EAB418F4","20250625","1"
"EAB418F4","20250626","1"
"EAB418F4","20250627","1"
"EAB418F4","20250630","1"
"EAB418F4","20250701","1"
"EAB418F4","20250702","1"
"EAB418F4","20250703","1"
"EAB418F4","20250707","1"
"EAB418F4","20250708","1"
"EAB418F4","20250709","1"
"EAB418F4","20250710","1"
"EAB418F4","20250711","1"
"EAB418F4","20250714","1"
"EAB418F4","20250715","1"
"EAB418F4","20250716","1"
"EAB418F4","20250717","1"
"EAB418F4","20250718","1"
"EAB418F4","20250721","1"
"EAB418F4","20250722","1"
"EAB418F4","20250723","1"
"EAB418F4","20250724","1"
"EAB418F4","20250725","1"
"EAB418F4","20250728","1"
"EAB418F4","20250729","1"
"EAB418F4","20250730","1"
"EAB418F4","20250731","1"
"EAB418F4","20250801","1"
"EAB418F4","20250804","1"
"EAB418F4","20250805","1"
"EAB418F4","20250806","1"
"EAB418F4","20250807","1"
"EAB418F4","20250808","1"
"EAB418F4","20250811","1"
"EAB418F4","20250812","1"
"EAB418F4","20250813","1"
"EAB418F4","20250814","1"
"EAB418F4","20250815","1"
"EAB418F4","20250818","1"
"EAB418F4","20250819","1"
"EAB418F4","20250820","1"
"EAB418F4","20250821","1"
"EAB418F4","20250822","1"
"EAB418F4","20250825","1"
"EAB418F4","20250826","1"
"EAB418F4","20250827","1"
"EAB418F4","20250828","1"
"EAB418F4","20250829","1"
"8979D7D3","20250608","1"
"8979D7D3","20250622","1"
